spp_short,species,bark1,bark2,ribbons
E.saligna,Eucalyptus saligna,smooth - short stocking,smooth with stocking,s
E.salignaXbotryoides,Eucalyptus saligna X botryoides,smooth - stocking,smooth with stocking,s
E.sciassubsp.scias,Eucalyptus scias subsp. scias,subfibrous - stringy,stringybark,n
E.siderophloia,Eucalyptus siderophloia,ironbark,ironbark,n
E.sideroxylon,Eucalyptus sideroxylon,ironbark,ironbark,n
E.sieberi,Eucalyptus sieberi,subfibrous - rough,subfibrous - rough / tellellated,y
E.smithii,Eucalyptus smithii,half bark,subfibrous - rough / tellellated,y
E.sparsifolia,Eucalyptus sparsifolia,stringybark,stringybark,n
E.stellulata,Eucalyptus stellulata,half bark,subfibrous - rough / tellellated,y
E.tereticornis,Eucalyptus tereticornis,smooth,smooth,n
E.tindaliae,Eucalyptus tindaliae,stringybark,stringybark,n
E.tricarpa,Eucalyptus tricarpa,ironbark,ironbark,n
E.umbra,Eucalyptus umbra,subfibrous - stringy,stringybark,n
E.viminalis,Eucalyptus viminalis,smooth - short stocking,smooth with stocking,y
E.williamsiana,Eucalyptus williamsiana,stringybark,stringybark,n
E.youmanii,Eucalyptus youmanii,stringybark,stringybark,n
S.glomulifera,Syncarpia glomulifera,stringybark,stringybark,n
