Nicolle19Name,Horseybark1_final,Horseybark2_final,forming ribbons_final,mallee
Eucalyptus leucoxylon,smooth with stocking,smooth with stocking,s,both
Eucalyptus ligustrina,stringybark,stringybark,s,both
Eucalyptus longifolia,subfibrous - box,subfibrous - rough / box / tessellated,s,no
Eucalyptus luehmanniana,smooth,smooth,y,yes
Eucalyptus macarthurii,subfibrous - rough,subfibrous - rough / box / tessellated,s,no
Eucalyptus macrorhyncha,stringybark,stringybark,n,no
Eucalyptus magnificata,subfibrous - box,subfibrous - rough / box / tessellated,s,both
Eucalyptus maidenii,smooth with stocking,smooth with stocking,y,no
Eucalyptus major,smooth,smooth,n,no
Eucalyptus malacoxylon,subfibrous - box,subfibrous - rough / box / tessellated,s,no
Eucalyptus mannifera,smooth,smooth,s,no
Eucalyptus mckieana,stringybark,stringybark,n,no
Eucalyptus melanophloia,ironbark,ironbark,n,no
Eucalyptus melliodora,halfbark,smooth with stocking,s,no
Eucalyptus michaeliana,smooth,smooth,n,no
Eucalyptus microcarpa,subfibrous - box,subfibrous - rough / box / tessellated,s,both
Eucalyptus microcodon,smooth,smooth,s,yes
Eucalyptus microcorys,subfibrous - stringy,subfibrous - stringy / peppermint,n,no
Eucalyptus moluccana,halfbark,smooth with stocking,s,no
Eucalyptus moorei,smooth,smooth,s,yes
Eucalyptus morrisii,halfbark,smooth with stocking,n,mallee
Eucalyptus morrisii,subfibrous - rough,subfibrous - rough / box / tessellated,n,tree
Eucalyptus muelleriana,stringybark,stringybark,n,no
Eucalyptus multicaulis,smooth,smooth,y,yes
Eucalyptus nandewarica,smooth,smooth,n,both
Eucalyptus nicholii,subfibrous - rough,subfibrous - rough / box / tessellated,s,no
Eucalyptus nitens,smooth with stocking,smooth with stocking,y,no
Eucalyptus nobilis,smooth,smooth,y,no
Eucalyptus nortonii,subfibrous - rough,subfibrous - rough / box / tessellated,s,no
Eucalyptus notabilis,subfibrous - stringy,subfibrous - stringy / peppermint,n,both
Eucalyptus nova-anglica,subfibrous - rough,subfibrous - rough / box / tessellated,s,no
Eucalyptus nubilis,ironbark,ironbark,n,no
Eucalyptus obliqua,subfibrous - stringy,subfibrous - stringy / peppermint,s,both
Eucalyptus ochrophloia,halfbark,smooth with stocking,s,no
Eucalyptus odorata,subfibrous - box,subfibrous - rough / box / tessellated,n,both
Eucalyptus oleosa,smooth with stocking,smooth with stocking,y,both
Eucalyptus olida,subfibrous - stringy,subfibrous - stringy / peppermint,y,no
Eucalyptus olsenii,smooth with stocking,smooth with stocking,s,no
Eucalyptus ophitica,ironbark,ironbark,n,no
Eucalyptus oreades,smooth with stocking,smooth with stocking,y,no
Eucalyptus ovata,halfbark,smooth with stocking,y,no
Eucalyptus pachycalyx,smooth,smooth,n,no
Eucalyptus paliformis,smooth,smooth,y,no
Eucalyptus panda,ironbark,ironbark,n,no
Eucalyptus paniculata,ironbark,ironbark,n,no
Eucalyptus parramattensis,smooth,smooth,n,no
Eucalyptus parvula,smooth with stocking,smooth with stocking,y,no
Eucalyptus pauciflora,smooth,smooth,s,both
Eucalyptus perriniana,smooth,smooth,s,both
Eucalyptus pilularis,halfbark,smooth with stocking,y,no
Eucalyptus piperita,subfibrous - peppermint,subfibrous - stringy / peppermint,y,no
Eucalyptus planchoniana,subfibrous - stringy,subfibrous - stringy / peppermint,s,no
Eucalyptus polyanthemos,variable,variable,s,both
Eucalyptus polyanthemos subsp. polyanthemos,smooth with stocking,smooth with stocking,n,both
Eucalyptus polyanthemos subsp. vestita,subfibrous - box,subfibrous - rough / box / tessellated,s,both
